zinc_id,smiles
ZINC000024106957,COc1ccc([C@@H](CNc2ncccc2[N+](=O)[O-])c2c[nH]c3ccccc23)cc1
ZINC000004670534,Cc1[nH]c2ccc(F)cc2c1CC(=O)Nc1ccc(OCc2ccccc2)cc1
ZINC000012909536,COc1ccccc1NC(=O)CCc1c(-c2ccc(F)cc2)[nH]c2ccccc12
ZINC000036329589,COc1ccc([C@@H](CNC(=O)c2cccc(F)c2)c2c[nH]c3ccccc23)cc1
ZINC000007947117,COc1ccc(-c2[nH]c3ccccc3c2CCC(=O)Nc2ccccc2F)cc1
ZINC000050765910,COc1ccccc1-c1ccccc1C(=O)NCCc1c[nH]c2cc(F)ccc12
ZINC000052848466,O=C(NCCc1cccc2ccccc12)c1cccnc1Nc1cccc(F)c1
ZINC000000787453,O=C(NCC(c1ccccc1)c1ccccc1)Nc1ccc(Cl)c(Cl)c1
ZINC000002878995,CC(C)c1cc(NC(=O)N(c2ccccc2)c2ccccc2)cc(C(C)C)c1O
ZINC000000471726,Cc1ccc(CC(=O)Nc2ccc(Nc3ccccc3)cc2)cc1
ZINC000020441560,Cc1cccc(CC(=O)Nc2ccc(Nc3ccccc3)cc2)c1
ZINC000014562006,Cc1ccccc1CC(=O)Nc1ccc(Nc2ccccc2)cc1
ZINC000006152328,O=C(CCCc1c[nH]c2ccccc12)Nc1cccc(Cl)c1
ZINC000028863040,Cc1cc(CNc2ccccc2)c(C)cc1CNc1ccccc1
ZINC000028863064,C[C@@H](Nc1ccccc1)c1ccc([C@@H](C)Nc2ccccc2)cc1
ZINC000006546506,Cc1ccc(NCc2ccc(CNc3ccc(C)cc3)cc2)cc1
ZINC000019872176,C[C@H](NCc1ccc(-c2ccccc2)cc1)[C@H](O)c1ccccc1
ZINC000002149448,CCc1cc(Cc2cc(CC)c(N)c(CC)c2)cc(CC)c1N
ZINC000019910278,CCc1ccccc1Nc1ccnc(Nc2ccccc2CC)n1
ZINC000019910280,CCc1ccc(Nc2ccnc(Nc3ccc(CC)cc3)n2)cc1
ZINC000033106103,CCCCC(=O)Nc1cccc(-c2cc3cc(F)ccc3[nH]2)c1
ZINC000000858873,O=C(CC1CCCCC1)Nc1ccc(Nc2ccccc2)cc1
ZINC000002556992,C=CCc1cc(C(C)(C)c2ccc(O)c(CC=C)c2)ccc1O
ZINC000032720179,O=C(Cc1cccc(F)c1)Nc1ccc(Nc2ccccc2)cc1
ZINC000004365762,COc1ccc(Nc2ccc(Nc3ccc(OC)cc3)cc2)cc1
ZINC000028113232,CC[C@@H](c1ccc(O)cc1)[C@@H](CC1=CC=CC1)c1ccc(O)cc1
ZINC000015693472,Cc1ccc(C)c([C@@H](C)NC(=O)CCc2c[nH]c3ccccc23)c1
ZINC000003395092,CC(C)(C)c1ccc(NC(=O)CCc2c[nH]c3ccccc23)cc1
ZINC000006710316,CCc1ccc2[nH]c(C)c(CC(=O)N[C@@H](C)c3ccccc3)c2c1
ZINC000031249395,CC(C)c1ccc([C@@H](C)NC(=O)Cc2c[nH]c3ccccc23)cc1
ZINC000000171577,CCc1ccc2[nH]c(C(=O)Nc3ccccc3[C@@H](C)CC)cc2c1
ZINC000036697869,CC(C)(C)C(=O)NC[C@@H](c1ccccc1)c1c[nH]c2ccccc12
ZINC000005689039,O=[N+]([O-])c1ccccc1NCCNc1cccc2ccccc12
ZINC000045367906,Oc1ccc(-c2ccccc2)cc1CNCCc1ccc(F)cc1
ZINC000015740959,CC(C)c1cccc(NC(=O)CCc2c[nH]c3ccccc23)c1
ZINC000015868406,CCC(CC)C(=O)Nc1cccc(-c2cc3ccccc3[nH]2)c1
ZINC000025968375,CC[C@@H](c1ccc(O)cc1)[C@H](CCCl)c1ccc(O)cc1
ZINC000028769468,CC[C@H](c1ccc(O)cc1)[C@@H](CC(F)(F)F)c1ccc(O)cc1
ZINC000000977149,O[C@H](C[C@H](Nc1ccccc1)c1ccccc1)c1ccccc1
ZINC000028863080,Fc1cccc(NCc2ccc(CNc3cccc(F)c3)cc2)c1
ZINC000033106097,CCC(CC)C(=O)Nc1cccc(-c2cc3cc(F)ccc3[nH]2)c1
ZINC000004138173,O=C(CCC1CCCC1)NCc1ccc2[nH]c3c(c2c1)CCCC3
ZINC000012761266,CC(C)(C)C1CCC(C(=O)NCCc2c[nH]c3ccccc23)CC1
ZINC000016070029,CCC(=O)NC[C@@H](c1ccccc1Cl)c1c[nH]c2ccccc12
ZINC000015562056,C[C@@H](NC(=O)CCc1c[nH]c2ccccc12)c1cccc(Cl)c1
ZINC000015992248,Cc1ccc(Cl)cc1NC(=O)CCCc1c[nH]c2ccccc12
ZINC000040143263,C[C@@H](CCc1ccccc1)NC(=O)c1[nH]c2ccccc2c1Cl
ZINC000017162781,CC[C@@H]([C@H](C)c1ccc(O)cc1)[C@@H](CC)c1ccc(O)cc1
ZINC000030955730,COc1ccc(S(=O)(=O)N2CCCC2)cc1NC(=O)C1CCN(Cc2nc(-c3ccccc3)no2)CC1
ZINC000036704257,CCOC(=O)c1c(NC(=O)C2CCN(S(=O)(=O)c3cccs3)CC2)sc2c1CCN(C(C)C)C2
ZINC000036647915,CCOC(=O)c1c(NC(=O)[C@@H]2CCCN(S(=O)(=O)c3cccs3)C2)sc2c1CCN(C(C)C)C2
ZINC000009835202,Cc1sc2ncn(CC(=O)NCCCN3CCCCCC3)c(=O)c2c1S(=O)(=O)N1CCC(C)CC1
ZINC000009835101,Cc1sc2ncn(CC(=O)NCCCN3C[C@H](C)C[C@@H](C)C3)c(=O)c2c1S(=O)(=O)N1CCCCC1
ZINC000009835204,Cc1sc2ncn(CC(=O)NCCCN3CCC(C)CC3)c(=O)c2c1S(=O)(=O)N1CCC(C)CC1
ZINC000020168679,O=C(COc1ccc(-c2cccs2)cc1CN1CCN(c2ncccn2)CC1)N[C@@H]1CCS(=O)(=O)C1
ZINC000026578706,COc1cccc(-c2cc(CN3CCN(c4ccc(N5C[C@H](CNC(C)=O)OC5=O)cc4F)CC3)on2)c1
ZINC000020838888,CN1CCN(S(=O)(=O)c2ccc(NC(=O)CSc3nnc(C(C)(C)C)n3-c3ccccc3)cc2)CC1
ZINC000038772816,COc1ccc2nc(N3CCN(CCNC(=O)c4ccc(S(=O)(=O)N5CCCC5)cc4)CC3)sc2c1
ZINC000038778409,COc1cccc2sc(N3CCN(CCNC(=O)c4ccc(S(=O)(=O)N5CCCC5)cc4)CC3)nc12
ZINC000003007168,CCOC(=O)c1c(NC(=O)c2ccc(S(=O)(=O)N3CCOCC3)cc2)sc2c1CCN(C(C)C)C2
ZINC000036660391,COC(=O)c1c(NC(=O)[C@H]2CCCN2S(=O)(=O)c2ccc(OC)cc2)sc2c1CCN(C(C)C)C2
ZINC000009835211,Cc1sc2ncn(CC(=O)NCCCN3C[C@@H](C)C[C@@H](C)C3)c(=O)c2c1S(=O)(=O)N1CCC(C)CC1
ZINC000009935985,Cc1sc2ncn(CC(=O)NCCCN3CCCCCC3)c(=O)c2c1S(=O)(=O)N1C[C@@H](C)C[C@@H](C)C1
ZINC000049723343,COc1cc(/C=C/C(=O)Nc2ccc3nc(N4CCN(c5ncccn5)CC4)cc(C)c3c2)cc(OC)c1OC
ZINC000036296001,CCn1c(SCC(=O)Nc2ccccc2F)nnc1-c1ccc(S(=O)(=O)N2CCN(C)CC2)cc1
ZINC000038785693,COc1ccc(C)c2sc(N3CCN(CCNC(=O)c4ccc(S(=O)(=O)N(C)C)cc4)CC3)nc12
ZINC000028705585,COc1ccc(N(C(=O)Nc2ccc(F)cc2)[C@@H](C)c2nc3ccccc3c(=O)n2N2CCNCC2)c(OC)c1
ZINC000012562884,CCOC(=O)c1c(NC(=O)CSc2nncn2-c2ccccc2F)sc2c1CC(C)(C)NC2(C)C
ZINC000008694673,O=C(Nc1ccccc1)N1CCN(CC/N=C/C2C(=O)N(C3CCCCC3)C(=O)N(C3CCCCC3)C2=O)CC1
ZINC000033353778,CCOC(=O)c1c(NC(=O)CSc2nc3c(c(-c4cccs4)c2C#N)CN(C)CC3)sc2c1CCCC2
ZINC000028373983,COc1ccc(N(C(=O)Nc2ccc(F)cc2)[C@@H](C)c2nc3ccccc3c(=O)n2N2CCN(C)CC2)c(OC)c1
ZINC000028377321,COc1ccc(N(Cc2nc3ccccc3c(=O)n2N2CCN(C)CC2)C(=O)Nc2cccc(Cl)c2)c(OC)c1
ZINC000043569606,COC(=O)N1CCC(CN([C@@H]2Cc3cc(C#N)ccc3N([C@H](C)c3cnc[nH]3)C2)S(=O)(=O)c2ccccn2)CC1
ZINC000045324418,COc1cc(OC)nc(-c2cccc(NC(=O)c3ccc4c(=O)n(CCN5CCCCC5)cnc4c3)c2)n1
ZINC000002105469,COc1ccc(CC[n+]2c(N)c(C(=O)NCc3ccco3)cc3c(=O)n4cccc(C)c4nc32)cc1OC
ZINC000010751207,CCCN1CCc2c(sc(NC(=O)[C@H]3CCCN(S(=O)(=O)c4cccs4)C3)c2C(=O)OC)C1
ZINC000010751032,CCOC(=O)c1c(NC(=O)[C@H]2CCCN(S(=O)(=O)c3cccs3)C2)sc2c1CCN(CC)C2
ZINC000009505379,CCOC(=O)c1c(NC(=O)[C@H]2CCCN2S(=O)(=O)c2cccs2)sc2c1CCN(C(C)C)C2
ZINC000009504701,CCCN1CCc2c(sc(NC(=O)C3CCN(S(=O)(=O)c4cccs4)CC3)c2C(=O)OC)C1
ZINC000009504698,CCOC(=O)c1c(NC(=O)C2CCN(S(=O)(=O)c3cccs3)CC2)sc2c1CCN(CC)C2
ZINC000030980291,COC(=O)c1c(NC(=O)C2CCN(Cc3nc(-c4ccc(OC)cc4)no3)CC2)sc2c1CCCC2
ZINC000009835087,Cc1sc2ncn(CC(=O)NCCCN3CCCCCC3)c(=O)c2c1S(=O)(=O)N1CCCCC1
ZINC000012218271,COC(=O)c1cn([C@H]2C[C@@H](C(=O)Nc3cccc(SC)c3)N(Cc3cc4ccccc4s3)C2)nn1
ZINC000008868979,CCOC(=O)c1c(NC(=O)[C@H]2CCCN2S(=O)(=O)c2ccc(OC)cc2)sc2c1CCN(C)C2
ZINC000008868975,CCN1CCc2c(sc(NC(=O)[C@H]3CCCN3S(=O)(=O)c3ccc(OC)cc3)c2C(=O)OC)C1
ZINC000011883235,COC(=O)c1c(NC(=O)c2ccc(S(=O)(=O)N(C)C[C@H]3CCCO3)cc2)sc2c1CCN(C)C2
ZINC000003007047,CCOC(=O)c1c(NC(=O)c2ccc(S(=O)(=O)N3CCOCC3)cc2)sc2c1CCN(CC)C2
ZINC000050002990,O=C(CCc1c(-c2ccccc2)[nH]c2ccc(F)cc12)NCc1ccccc1CO
ZINC000030015271,O=C(NCCc1nc2ccccc2[nH]1)c1ccc(Nc2ccccc2)c([N+](=O)[O-])c1
ZINC000004905129,CCc1cccc(CC)c1NC(=S)NCCc1c(C)[nH]c2ccc(Cl)cc12
ZINC000028892243,C[C@@H](CCc1ccc(O)cc1)NC(=O)Cc1c(-c2ccccc2)[nH]c2ccccc12
ZINC000006188322,O=C(CCc1c[nH]c2ccccc12)N[C@@H](Cc1ccccc1)c1nc2ccccc2[nH]1
ZINC000010895465,O=C(CCc1nc2ccccc2[nH]1)NC[C@H](c1ccccc1)c1c[nH]c2ccccc12
ZINC000034133027,Oc1ccccc1CN[C@@H](Cc1ccccc1)C(O)(c1ccccc1)c1ccccc1
ZINC000009220857,Cc1ccc(F)cc1NC(=O)CNc1cc([N+](=O)[O-])ccc1Nc1ccccc1
ZINC000042064605,O=C(NNc1ccccc1[N+](=O)[O-])c1ccc(Nc2ccccc2)c([N+](=O)[O-])c1
ZINC000021285044,O=C(CCc1c[nH]c2ccccc12)NNc1ccc(C(F)(F)F)cc1[N+](=O)[O-]
ZINC000012790050,O=C(CCc1c[nH]c2ccccc12)NC[C@@H](c1cccs1)c1c[nH]c2ccccc12
ZINC000005274541,Cc1[nH]c2ccccc2c1[C@@H]1[C@H](CCNC(=S)NCc2ccccc2)C1(C)C
ZINC000010690663,CNc1ccc(C(=O)NC[C@@H](c2ccccc2)c2c[nH]c3ccccc23)cc1[N+](=O)[O-]
ZINC000018941498,O=C(c1c[nH]c2ccccc12)[C@H](NC[C@H](O)c1ccc([N+](=O)[O-])cc1)c1ccccc1
ZINC000036398644,Cc1ccc(NC(=O)[C@H](NCCc2c[nH]c3ccccc23)c2ccccc2)cc1Cl
ZINC000025349612,O=C(CCc1ccccc1O)NC[C@@H](c1ccccc1Cl)c1c[nH]c2ccccc12
ZINC000032981908,COc1ccc(Nc2ccccc2NC(=O)CCc2c[nH]c3ccccc23)cc1
ZINC000008343665,Cc1n[nH]c(C)c1CCC(=O)NC[C@@H](c1ccccc1Cl)c1c[nH]c2ccccc12
ZINC000003771340,C=CCNC(=S)NCCc1c(-c2ccc(F)cc2)[nH]c2c(Cl)ccc(Cl)c12
ZINC000018074520,COc1ccc([C@@H](CNC(=O)Cc2c[nH]c3ccccc23)c2c[nH]c3ccccc23)cc1
ZINC000010693680,O=C(CCc1ccccc1O)NC[C@@H](c1ccccc1)c1c[nH]c2ccccc12
ZINC000002561984,O=C(NCCc1c[nH]c2ccccc12)c1cccnc1Nc1cccc(C(F)(F)F)c1
ZINC000009322949,Cc1cc(C)c(NC(=O)CNc2cc([N+](=O)[O-])ccc2Nc2ccccc2)c(Cl)c1
ZINC000004904950,CCc1cccc(CC)c1NC(=S)NCCc1c(C)[nH]c2ccc(F)cc12
ZINC000011003103,O=C(CCc1c(-c2ccccc2)[nH]c2ccc(F)cc12)NCCc1nc2ccccc2[nH]1
ZINC000039714764,C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@@H](C)[C@H](CCO)CCCC)C[C@@H](O)C[C@@H]1O
ZINC000013682489,C=C1/C(=C\C=C2/CC[C@@H](CCCCCCC(C)(C)O)[C@]3(C)CCC[C@@H]23)C[C@@H](O)C[C@@H]1O
ZINC000026980235,Cc1cccc(Nc2ccncc2S(=O)(=O)N/C(=C/[N+](=O)[O-])NC2CCCCC2)c1
ZINC000002841982,S=C(NCCc1ccc(Cl)cc1)Nc1ccc(Nc2ccccc2)cc1
ZINC000012549280,O=C(N[C@@H](Cc1ccccc1)c1nc2ccccc2[nH]1)c1ccccc1Nc1ccccc1
ZINC000001410391,Cc1[nH]c2c(Br)cc(F)cc2c1CCNC(=S)NCCc1ccccc1
ZINC000021619939,CN(C)c1ccc([C@@H](CNC(=O)Cc2c[nH]c3ccccc23)c2c[nH]c3ccccc23)cc1
ZINC000007978648,O=C(CNc1cc([N+](=O)[O-])ccc1Nc1ccccc1)Nc1cccc(F)c1
ZINC000008830483,CCc1cccc(CC)c1N/C(S)=N/CCc1c(C)[nH]c2ccc(C)cc12
ZINC000003073899,OCCCNC(Nc1ccc(Cl)cc1)=C(c1ccccc1)c1ccccc1
ZINC000040527610,OC[C@H](N[C@]1(c2ccccc2)c2ccccc2C[C@H]1Cc1ccccc1)[C@H](O)c1ccccc1
ZINC000010958951,CC(C)C[C@@H](NC(=O)CCc1c[nH]c2ccccc12)c1nc2ccccc2[nH]1
ZINC000045673786,CC(C)[C@@H](NC(=O)CCCc1c[nH]c2ccccc12)c1nc2ccccc2[nH]1
ZINC000005033674,Cc1[nH]c2ccc(Cl)cc2c1CCNC(=S)NCCc1ccccc1
ZINC000040098569,O=C(NC[C@@H](O)c1ccc(F)cc1F)Nc1cc(Cl)c(Cl)cc1Cl
ZINC000044983330,Cc1ccc2[nH]c(C(=O)NCC(=O)Nc3ccc(F)c(F)c3F)c(Cl)c2c1
ZINC000011879811,Cc1c(-c2ccccc2)[nH]c2c(CNC(=O)C[C@@H]3CCC(=O)N3)cc(Cl)cc12
ZINC000031366472,O=C(CNC(=O)c1ccccc1Cl)Nc1ccc2[nH]c3c(c2c1)CCCCC3
ZINC000021361670,Cc1ccc2[nH]c(C(=O)NC3CCCC3)c(NC(=O)c3ccc(Cl)cc3)c2c1
ZINC000031364043,C[C@H](NC(=O)c1ccccc1Cl)C(=O)Nc1ccc2[nH]c3c(c2c1)CCCC3
ZINC000021285937,Cc1c(C(=O)NNc2ccc(C(F)(F)F)cc2[N+](=O)[O-])[nH]c2c1C(=O)CCC2
ZINC000044441797,O=C(Nc1ccc(-c2nc3ccccc3[nH]2)cc1)Nc1ccc(C(F)(F)F)cc1
ZINC000033130706,O=C(Nc1ccccc1C(F)(F)F)Nc1c(-c2cccnc2)[nH]c2ccccc12
ZINC000047404227,Cc1n[nH]c2ncc(C(=O)NC[C@H](c3ccccc3)c3c[nH]c4ccccc34)cc12
ZINC000033130833,O=C(NCc1ccc(F)cc1)Nc1c(-c2ccncc2)[nH]c2c(Cl)cccc12
ZINC000047932876,O=C(Cc1ccc(Cl)cc1)NNC(=O)c1[nH]c2ccc(Cl)cc2c1Cl
ZINC000044297435,O=C(CNC(=O)c1cc2cc(Cl)ccc2[nH]1)Nc1cc(Cl)ccc1Cl
ZINC000040575548,CCc1c(C)[nH]c2c1/C(=N/NC(=S)Nc1ccc(C(F)(F)F)cc1)CCC2
ZINC000031366176,O=C(CNC(=O)c1ccc(F)cc1F)Nc1ccc2[nH]c3c(c2c1)CCCCC3
ZINC000030884634,C[C@@H]1CCc2[nH]c3c(C(=O)NCC(=O)Nc4ccc(F)c(F)c4)cccc3c2C1
ZINC000045168039,c1ccc(Oc2ccc(Nc3ccnc(Nc4ccc5cn[nH]c5c4)n3)cc2)cc1
ZINC000014181235,Cc1ccc(C(=O)Nc2cccc(/C=C/C(=O)c3ccc4[nH]c(=O)[nH]c4c3)c2)cc1
ZINC000028530182,COc1cccc(Nc2nc(-c3cccnc3Nc3cc(F)cc(F)c3)n[nH]2)c1
ZINC000016953758,O=[N+]([O-])c1ccc(N/N=C(/c2ccccc2)c2ccc(O)cc2O)c([N+](=O)[O-])c1
ZINC000003914981,O=[N+]([O-])c1ccc(NN=C(c2ccc(O)cc2)c2ccc(O)cc2)c([N+](=O)[O-])c1
ZINC000027522360,O=[N+]([O-])c1ccc(NN=C(c2ccccc2O)c2ccccc2O)c([N+](=O)[O-])c1
ZINC000007488779,Cc1cc(/C=C(/C(=O)NCc2ccccc2)c2nc3ccccc3[nH]2)cc(C)c1O
ZINC000048463518,Cc1cc(Br)cc(C)c1NC(=O)NCc1cc([N+](=O)[O-])ccc1O
ZINC000028520460,COc1ccc2[nH]c(C(=O)Nc3cc(N)c4ccccc4c3CCCl)cc2c1
ZINC000015544119,O=C(Nc1ccc2[nH]c(=O)[nH]c2c1)c1ccccc1OCc1ccccc1Cl
ZINC000043420367,O=C(NCCc1nc2ccccc2[nH]1)Nc1ccc(Br)cc1Cl
ZINC000045453584,Cc1cccc(C2(CNC(=O)N[C@H]3CCCc4[nH]c(=O)ccc43)CCCCC2)c1
ZINC000048096463,Cc1ccc([C@H](O)CNC(=O)Nc2c(C)cc(Br)cc2Cl)cc1
ZINC000045439107,O=C(NNc1ccc(F)cc1Br)N[C@@H]1CCC[C@H](C(F)(F)F)C1
ZINC000044366767,O=C(NC1CC1)c1cccc(NC(=O)c2cc3cc(Br)ccc3[nH]2)c1
ZINC000047305332,O=C(Nc1cccc(NC(=O)C2CC2)c1)c1[nH]c2ccccc2c1Br
ZINC000047271559,O=C(NC1CC1)c1ccccc1NC(=O)c1[nH]c2ccccc2c1Br
ZINC000007688930,O=c1[nH]c2ccc(S(=O)(=O)N[C@H](Cc3ccccc3)c3ccccc3)cc2[nH]1
ZINC000007687666,O=c1[nH]c2ccc(S(=O)(=O)NCC(c3ccccc3)c3ccccc3)cc2[nH]1
ZINC000043178118,CC(C)[C@H](NC(=O)Nc1c(F)c(F)c(F)c(F)c1F)c1nc2ccccc2[nH]1
ZINC000021361908,Cc1ccc2[nH]c(C(=O)NC3CCCCC3)c(NC(=O)c3ccc(F)cc3)c2c1
ZINC000047172898,O=C(CCc1c(-c2ccc(F)cc2)[nH]c2ccccc12)N[C@H]1CCCCNC1=O
ZINC000051139133,C(=C\c1cncnc1Nc1ccc2nc(Cc3ccccc3)[nH]c2c1)\c1cn[nH]c1
ZINC000020503363,COc1ccc(-c2ccc(=O)n3c2[C@@H]2C[C@@H](CN(Cc4cc5ccccc5o4)C2)C3)cc1
ZINC000049037414,C[C@H]1CN(c2nnc(-c3ccc(F)cc3)c3ccccc23)CCN1C(=O)c1ccccc1
ZINC000011873657,Cc1ccccc1CN1C[C@@H]2C[C@@H](c3cn(C)nc3-c3ccccc3)N3CCC[C@@]23C1=O
ZINC000055408317,Cc1ccc(CN2CC(=O)N(c3ccc(C(C)(C)C)cc3)[C@@H]3CS(=O)(=O)C[C@@H]32)cc1
ZINC000027769801,COc1ccc2c(c1)CCN1C[C@H]3CCCN(S(=O)(=O)Cc4ccccc4)[C@@H]3C[C@@H]21
